	0	1
Earnings Date	2020-11-10 00:00:00	2020-11-16 00:00:00
Earnings Average	1.73	1.73
Earnings Low	1.59	1.59
Earnings High	1.9	1.9
Revenue Average	1570880000	1570880000
Revenue Low	1504000000	1504000000
Revenue High	1620480000	1620480000
