	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	7418737	2020-06-29	0.0096	295043170
1	Blackrock Inc.	6071932	2020-06-29	0.0079	241480735
2	Fisher Asset Management, LLC	4475097	2020-06-29	0.0058	177974607
3	State Street Corporation	4036237	2020-06-29	0.0052	160521145
4	Goldman Sachs Group, Inc.	1716839	2020-06-29	0.0022	68278687
5	Ashmore Group plc	1690125	2020-06-29	0.0022	67216271
6	Personal Capital Advisors Corp	1282096	2020-06-29	0.0017000000000000001	50988957
7	Norges Bank Investment Management	1170518	2019-12-30	0.0015	49723604
8	FIL LTD	1100048	2020-06-29	0.0014000000000000002	43748908
9	Neuberger Berman Group, LLC	1006367	2020-06-29	0.0013	40023215
