	Holder	Shares	Date Reported	% Out	Value
0	Morgan Stanley	5001789	2020-06-29	0.124	142200861
1	Blackrock Inc.	2986829	2020-06-29	0.0741	84915548
2	Vanguard Group, Inc. (The)	1944298	2020-06-29	0.0482	55276392
3	Allianz Asset Management GmbH	1897600	2020-06-29	0.047	53948768
4	Renaissance Technologies, LLC	1291700	2020-06-29	0.032	36723031
5	State Street Corporation	1216808	2020-06-29	0.0302	34593851
6	Arrowstreet Capital, Limited Partnership	740642	2020-06-29	0.0184	21056452
7	Two Sigma Investments, LP	718690	2020-06-29	0.0178	20432356
8	SG Capital Management, LLC	711119	2020-06-29	0.0176	20217113
9	Penserra Capital Management LLC	703634	2020-06-29	0.0174	20004314
