	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	12955301	2020-06-29	0.085	7048849721
1	Blackrock Inc.	9986435	2020-06-29	0.0655	5433519419
2	Capital World Investors	7049676	2020-06-29	0.0462	3835658214
3	State Street Corporation	6476994	2020-06-29	0.0425	3524067665
4	Temasek Holdings (Private) Limited	5952380	2020-06-29	0.039	3238630434
5	Bank of America Corporation	5753402	2020-06-29	0.0377	3130368494
6	Wellington Management Company, LLP	5545472	2020-06-29	0.0364	3017235860
7	FMR, LLC	3699444	2020-06-29	0.024300000000000002	2012830485
8	JP Morgan Chase & Company	3402100	2020-06-29	0.0223	1851048589
9	Capital International Investors	2891344	2020-06-29	0.019	1573151356
