	Holder	Shares	Date Reported	% Out	Value
0	Soroban Capital Partners LP	30000000	2020-09-29	0.0537	780000000
1	Vanguard Group, Inc. (The)	29325721	2020-09-29	0.0525	762468746
2	Blackrock Inc.	16547182	2020-09-29	0.0296	430226732
3	Capital Research Global Investors	11670715	2020-09-29	0.0209	303438590
4	Palestra Capital Management LLC	10921008	2020-09-29	0.0196	283946208
5	Zimmer Partners, LP	10722337	2020-09-29	0.0192	278780762
6	JP Morgan Chase & Company	9380362	2020-09-29	0.0168	243889412
7	Citadel Advisors LLC	8585189	2020-09-29	0.0154	223214914
8	Srs Investment Management, Llc	8074979	2020-09-29	0.014499999999999999	209949454
9	Pelham Capital Ltd.	7216355	2020-12-30	0.0129	273283363
